Site ID,Date Collected,Quadrat Number,Size mm,Alive/Dead,Number of Drill Holes,Presence of Boring Sponge,Collected for Disease Testing,New Recruit
Nin-4S,5/3/2016 0:00:00,2,26,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,29,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,26,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,21,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,26,9,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,39,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,38,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,19,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,24,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,37,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,34,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,32,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,29,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,13,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,12,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,22,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,16,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,34,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,18,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,31,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,26,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,27,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,30,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,37,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,24,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,27,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,22,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,34,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,40,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,39,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,31,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,37,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,44,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,27,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,38,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,10,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,49,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,27,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,25,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,31,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,35,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,33,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,31,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,22,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,43,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,34,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,25,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,34,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,31,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,22,9,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,45,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,34,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,35,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,33,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,47,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,30,9,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,25,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,28,9,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,41,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,30,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,39,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,33,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,21,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,38,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,15,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,25,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,26,9,0,0,0,0
